"var","unique_values_count"
"cat1",2
"cat2",2
"cat3",2
"cat4",2
"cat5",2
"cat6",2
"cat7",2
"cat8",2
"cat9",2
"cat10",2
"cat11",2
"cat12",2
"cat13",2
"cat14",2
"cat15",2
"cat16",2
"cat17",2
"cat18",2
"cat19",2
"cat20",2
"cat21",2
"cat22",2
"cat23",2
"cat24",2
"cat25",2
"cat26",2
"cat27",2
"cat28",2
"cat29",2
"cat30",2
"cat31",2
"cat32",2
"cat33",2
"cat34",2
"cat35",2
"cat36",2
"cat37",2
"cat38",2
"cat39",2
"cat40",2
"cat41",2
"cat42",2
"cat43",2
"cat44",2
"cat45",2
"cat46",2
"cat47",2
"cat48",2
"cat49",2
"cat50",2
"cat51",2
"cat52",2
"cat53",2
"cat54",2
"cat55",2
"cat56",2
"cat57",2
"cat58",2
"cat59",2
"cat60",2
"cat61",2
"cat62",2
"cat63",2
"cat64",2
"cat65",2
"cat66",2
"cat67",2
"cat68",2
"cat69",2
"cat70",2
"cat71",2
"cat72",2
"cat73",3
"cat74",3
"cat75",3
"cat76",3
"cat77",4
"cat78",4
"cat79",4
"cat80",4
"cat81",4
"cat82",4
"cat83",4
"cat84",4
"cat85",4
"cat86",4
"cat87",4
"cat88",4
"cat89",8
"cat90",7
"cat91",8
"cat92",7
"cat93",5
"cat94",7
"cat95",5
"cat96",8
"cat97",7
"cat98",5
"cat99",16
"cat100",15
"cat101",19
"cat102",9
"cat103",13
"cat104",17
"cat105",20
"cat106",17
"cat107",20
"cat108",11
"cat109",84
"cat110",131
"cat111",16
"cat112",51
"cat113",61
"cat114",19
"cat115",23
"cat116",326
