var,feature_importance,rank
cat80_D,0.22932384068958434,1
cont14,0.048549909991508766,2
cat12_A,0.039534635429142,3
cont7,0.039259767928361125,4
cont2,0.03032161736903025,5
cat79_D,0.025297402143415568,6
cat81_D,0.023032581387378695,7
cont8,0.015732919053635858,8
cont3,0.015335172175359199,9
cont6,0.014968813676730362,10
cont5,0.014703456651804923,11
cont1,0.014296870232072396,12
cont4,0.014067856239748591,13
cont13,0.013613788977952335,14
cat1_B,0.013454402541438395,15
cont12,0.012927606610828734,16
cont11,0.010982571518964243,17
cont10,0.010670710952910854,18
cont9,0.010393348667891836,19
cat57_B,0.010311427568414295,20
cat100_I,0.009320182636930678,21
cat53_A,0.008762851272035637,22
cat44_A,0.008605897272405193,23
cat12_B,0.00858604831872592,24
cat26_A,0.007470095752136807,25
cat100_F,0.006439367480798821,26
cat101_A,0.005922860314305748,27
cat72_B,0.004865151273278506,28
cat4_B,0.00464166397878195,29
cat5_B,0.004271043606178159,30
cat72_A,0.004065966359023245,31
cat50_B,0.003954134055243959,32
cat111_C,0.0038486730527219027,33
cat83_B,0.0031976890742037947,34
cat103_B,0.0029821222918691897,35
cat114_C,0.002867757302408621,36
cat44_B,0.002837381351264208,37
cat100_J,0.0027213300391479454,38
cat100_G,0.0026916721279272838,39
cat82_B,0.0026481117954996534,40
cat11_B,0.00262755198496296,41
cat31_A,0.0025368320779593774,42
cat103_A,0.002430303342225438,43
cat91_A,0.002390310325657674,44
cat112_AH,0.002386756787752049,45
cat6_B,0.0023846130299142554,46
cat112_J,0.0022604766422054446,47
cat82_D,0.0022232400420717125,48
cat10_A,0.0022091817738363446,49
cat91_B,0.0021785962752438152,50
cat39_A,0.002176269582433266,51
cat4_A,0.0021111847955918375,52
cat93_D,0.0020339910150976503,53
cat100_K,0.0019556190811003582,54
cat73_B,0.001920207372730885,55
cat2_B,0.0018988457084439495,56
cat100_A,0.0018888664163942452,57
cat83_A,0.0018713059780773747,58
cat114_E,0.0018703087311299751,59
cat112_AV,0.0018561086586931202,60
cat84_C,0.0018243220868403279,61
cat81_B,0.0018184795838619404,62
cat112_K,0.001814947764559603,63
cat93_C,0.001811154211065879,64
cat83_D,0.001790166829655857,65
cat82_A,0.0017232940766174062,66
cat112_U,0.0017166078597098825,67
cat100_H,0.0016933940323019573,68
cat100_L,0.0016876084938653544,69
cat105_F,0.0016523310847616553,70
cat49_B,0.0016501845232199468,71
cat109_BI,0.001647226431618167,72
cat27_B,0.0016410926347234123,73
cat53_B,0.001639800624545462,74
cat75_A,0.0016327475250678387,75
cat111_E,0.0016089080941173843,76
cat110_EG,0.0016065990749799493,77
cat36_A,0.0015920491113349913,78
cat84_A,0.0015725564420746938,79
cat92_H,0.0015634243426411744,80
cat112_AS,0.0015609522359577217,81
cat112_E,0.001553289134179819,82
cat94_D,0.0015506968212772353,83
cat13_A,0.0015333700434537116,84
cat105_E,0.0015280905450047568,85
cat110_CS,0.001524515821596545,86
cat38_A,0.0015141909490507756,87
cat23_A,0.0015091275627713897,88
cat75_B,0.001502678496111507,89
cat73_A,0.0014438864201582503,90
cat103_C,0.0014272403758756125,91
cat87_B,0.0014262139553501438,92
cat79_B,0.0014252107361837094,93
cat2_A,0.0014203578296050068,94
cat13_B,0.0013960671633342337,95
cat106_G,0.001394891475595494,96
cat110_CL,0.001389672993554108,97
cat36_B,0.001365510564013222,98
